iter	Passed	Remaining
0	5	5888
1	6	3379
2	8	2732
3	8	2229
4	9	1942
5	10	1763
6	11	1610
7	12	1496
8	12	1396
9	13	1318
10	13	1253
11	14	1202
12	15	1159
13	32	2255
14	32	2153
15	33	2064
16	34	1985
17	35	1914
18	35	1845
19	36	1792
20	37	1743
21	38	1695
22	38	1648
23	39	1605
24	40	1567
25	40	1529
26	41	1494
27	42	1463
28	42	1432
29	43	1407
30	44	1382
31	44	1360
32	45	1338
33	46	1316
34	47	1297
35	47	1277
36	48	1261
37	49	1245
38	49	1229
39	50	1214
40	51	1199
41	52	1186
42	52	1172
43	53	1159
44	53	1145
45	54	1133
46	55	1120
47	55	1109
48	56	1097
49	57	1086
50	57	1077
51	58	1066
52	59	1054
53	59	1044
54	60	1034
55	60	1024
56	61	1016
57	62	1009
58	62	1000
59	63	992
60	63	984
61	64	976
62	65	968
63	65	962
64	66	956
65	67	949
66	67	944
67	68	939
68	69	934
69	69	928
70	70	922
71	71	916
72	71	910
73	72	905
74	72	899
75	73	894
76	74	890
77	74	886
78	75	880
79	76	876
80	76	871
81	77	864
82	77	859
83	78	855
84	79	851
85	79	848
86	80	845
87	81	841
88	81	836
89	82	833
90	82	827
91	83	823
92	84	819
93	84	815
94	85	811
95	85	808
96	86	805
97	87	802
98	87	798
99	88	795
100	89	792
101	89	788
102	90	785
103	90	781
104	91	778
105	91	775
106	93	779
107	94	776
108	94	773
109	95	770
110	95	765
111	96	762
112	96	759
113	97	756
114	97	753
115	98	751
116	99	749
117	99	747
118	100	743
119	101	741
120	101	738
121	102	735
122	102	732
123	103	730
124	103	727
125	104	725
126	105	723
127	105	721
128	106	719
129	107	718
130	107	716
131	108	715
132	109	713
133	110	711
134	110	710
135	111	710
136	112	709
137	113	707
138	113	705
139	114	703
140	115	701
141	115	698
142	116	696
143	116	694
144	117	693
145	118	692
146	118	690
147	119	688
148	120	686
149	120	683
150	121	682
151	121	680
152	122	678
153	123	676
154	123	674
155	124	673
156	125	671
157	125	669
158	126	667
159	126	666
160	127	663
161	127	661
162	128	659
163	128	657
164	129	656
165	130	655
166	131	653
167	131	652
168	132	650
169	132	648
170	133	646
171	134	645
172	134	643
173	135	641
174	135	640
175	136	639
176	137	637
177	137	635
178	138	634
179	138	631
180	139	630
181	139	628
182	140	626
183	140	625
184	141	623
185	142	622
186	142	619
187	143	618
188	143	616
189	144	615
190	144	613
191	145	612
192	146	610
193	146	609
194	147	607
195	147	606
196	148	605
197	149	604
198	149	602
199	150	601
200	151	600
201	151	598
202	152	597
203	152	595
204	153	594
205	153	593
206	154	592
207	155	591
208	156	590
209	156	589
210	157	588
211	157	586
212	158	585
213	158	583
214	159	582
215	160	581
216	160	579
217	161	578
218	161	577
219	162	576
220	163	575
221	163	574
222	164	573
223	164	571
224	165	569
225	165	568
226	166	567
227	167	566
228	168	565
229	168	564
230	169	563
231	170	562
232	170	561
233	171	560
234	171	559
235	172	557
236	173	557
237	173	556
238	174	555
239	175	554
240	175	553
241	176	552
242	176	551
243	177	550
244	178	548
245	178	547
246	179	546
247	180	546
248	180	545
249	181	544
250	182	543
251	182	542
252	183	540
253	183	539
254	184	538
255	184	537
256	185	536
257	186	535
258	186	534
259	187	533
260	188	533
261	188	532
262	189	531
263	190	530
264	190	528
265	191	528
266	192	527
267	192	526
268	193	526
269	194	525
270	194	524
271	195	523
272	196	523
273	197	522
274	197	521
275	198	521
276	199	520
277	199	519
278	200	518
279	201	517
280	202	517
281	202	516
282	203	515
283	204	514
284	204	513
285	205	512
286	206	511
287	206	511
288	207	510
289	207	509
290	208	508
291	209	507
292	209	506
293	210	505
294	210	504
295	211	503
296	212	502
297	212	501
298	213	500
299	214	499
300	214	498
301	215	497
302	215	496
303	216	495
304	217	494
305	217	493
306	218	493
307	219	492
308	219	491
309	220	491
310	221	490
311	221	489
312	222	487
313	222	487
314	223	486
315	224	485
316	224	484
317	225	483
318	226	482
319	226	481
320	227	480
321	227	479
322	228	478
323	229	477
324	229	477
325	230	476
326	230	475
327	231	474
328	232	473
329	232	472
330	233	471
331	233	470
332	234	469
333	235	468
334	235	468
335	236	467
336	237	466
337	237	465
338	238	464
339	238	463
340	239	462
341	240	461
342	240	461
343	241	460
344	242	459
345	242	458
346	243	457
347	243	456
348	244	455
349	245	455
350	245	454
351	246	453
352	246	452
353	247	451
354	248	450
355	248	450
356	249	449
357	250	448
358	250	447
359	251	446
360	251	445
361	252	444
362	253	443
363	253	443
364	254	442
365	254	441
366	255	440
367	256	439
368	256	438
369	257	438
370	258	437
371	258	437
372	259	436
373	260	436
374	261	435
375	261	434
376	262	434
377	263	433
378	264	432
379	264	432
380	265	431
381	266	430
382	267	430
383	267	429
384	268	428
385	269	428
386	269	427
387	270	426
388	271	425
389	271	425
390	272	424
391	273	424
392	274	423
393	274	422
394	275	421
395	276	420
396	276	420
397	277	419
398	277	418
399	278	417
400	279	417
401	279	416
402	280	415
403	281	415
404	281	414
405	282	413
406	283	412
407	283	411
408	284	411
409	285	410
410	285	409
411	286	409
412	287	408
413	288	407
414	288	406
415	289	406
416	289	405
417	290	404
418	291	404
419	292	403
420	293	403
421	293	402
422	294	401
423	295	400
424	295	400
425	296	399
426	297	398
427	297	398
428	298	397
429	299	397
430	300	396
431	301	396
432	301	395
433	302	394
434	303	394
435	305	394
436	306	395
437	307	394
438	308	394
439	309	393
440	309	392
441	310	392
442	311	391
443	312	391
444	313	390
445	313	389
446	314	388
447	314	388
448	315	387
449	316	386
450	316	385
451	317	385
452	318	384
453	319	384
454	320	383
455	320	382
456	321	381
457	321	381
458	322	380
459	323	379
460	324	379
461	325	378
462	325	377
463	326	377
464	327	376
465	327	375
466	328	374
467	328	373
468	329	373
469	330	372
470	331	372
471	332	371
472	332	370
473	333	369
474	333	369
475	334	368
476	335	367
477	336	367
478	337	366
479	337	365
480	338	365
481	338	364
482	339	363
483	340	362
484	340	361
485	341	361
486	342	360
487	343	359
488	343	359
489	344	358
490	344	357
491	345	356
492	346	356
493	346	355
494	347	354
495	348	353
496	348	353
497	349	352
498	350	351
499	351	351
500	351	350
501	352	349
502	353	348
503	353	348
504	354	347
505	355	346
506	356	346
507	356	345
508	357	344
509	357	343
510	358	343
511	359	342
512	359	341
513	361	341
514	361	340
515	362	340
516	363	339
517	364	338
518	364	338
519	365	337
520	366	336
521	366	335
522	367	335
523	368	334
524	368	333
525	369	333
526	370	332
527	370	331
528	371	330
529	372	330
530	372	329
531	373	328
532	374	328
533	375	327
534	376	326
535	376	326
536	377	325
537	378	324
538	378	323
539	379	323
540	380	322
541	381	322
542	381	321
543	382	320
544	382	319
545	383	318
546	384	318
547	385	317
548	385	317
549	386	316
550	387	315
551	388	315
552	388	314
553	389	313
554	390	313
555	391	312
556	391	311
557	392	311
558	393	310
559	394	309
560	395	309
561	395	308
562	396	307
563	397	306
564	397	306
565	398	305
566	399	304
567	399	304
568	400	303
569	401	302
570	401	301
571	402	301
572	402	300
573	403	299
574	404	298
575	405	298
576	405	297
577	406	296
578	407	296
579	407	295
580	408	294
581	409	293
582	409	293
583	410	292
584	411	291
585	412	291
586	412	290
587	413	289
588	413	288
589	414	288
590	415	287
591	415	286
592	416	285
593	417	285
594	418	284
595	419	284
596	419	283
597	420	282
598	420	281
599	421	281
600	422	280
601	422	279
602	423	278
603	424	278
604	425	277
605	425	276
606	426	276
607	426	275
608	427	274
609	428	273
610	428	272
611	429	272
612	430	271
613	430	270
614	431	270
615	432	269
616	433	268
617	433	268
618	434	267
619	434	266
620	435	265
621	436	265
622	437	264
623	437	263
624	438	263
625	439	262
626	439	261
627	440	260
628	441	260
629	441	259
630	442	258
631	443	258
632	444	257
633	444	256
634	445	256
635	446	255
636	446	254
637	447	253
638	448	253
639	448	252
640	449	251
641	450	251
642	450	250
643	451	249
644	451	248
645	452	247
646	453	247
647	453	246
648	454	245
649	455	245
650	455	244
651	456	243
652	457	242
653	457	242
654	458	241
655	458	240
656	459	239
657	460	239
658	460	238
659	461	237
660	462	236
661	462	236
662	463	235
663	463	234
664	464	234
665	465	233
666	465	232
667	466	231
668	467	231
669	467	230
670	468	229
671	469	229
672	470	228
673	470	227
674	471	226
675	471	226
676	472	225
677	473	224
678	473	223
679	474	223
680	475	222
681	475	221
682	476	221
683	477	220
684	477	219
685	478	218
686	478	218
687	479	217
688	480	216
689	481	216
690	481	215
691	482	214
692	482	213
693	483	213
694	484	212
695	484	211
696	485	211
697	486	210
698	487	209
699	487	209
700	488	208
701	489	207
702	489	206
703	490	206
704	491	205
705	491	204
706	492	204
707	493	203
708	494	202
709	494	202
710	495	201
711	495	200
712	496	199
713	497	199
714	497	198
715	498	197
716	499	197
717	499	196
718	500	195
719	501	194
720	501	194
721	502	193
722	502	192
723	503	191
724	504	191
725	505	190
726	505	189
727	506	189
728	506	188
729	507	187
730	508	187
731	508	186
732	509	185
733	510	184
734	510	184
735	511	183
736	512	182
737	512	182
738	513	181
739	514	180
740	514	179
741	515	179
